x,y
-1.5,-1.5
-1.485,-1.5
-1.47,-1.5
-1.455,-1.5
-1.44,-1.5
-1.425,-1.5
-1.41,-1.5
-1.395,-1.5
-1.38,-1.5
-1.365,-1.5
-1.35,-1.5
-1.335,-1.5
-1.32,-1.5
-1.305,-1.5
-1.29,-1.5
-1.275,-1.5
-1.26,-1.5
-1.245,-1.5
-1.23,-1.5
-1.215,-1.5
-1.2,-1.5
-1.185,-1.5
-1.17,-1.5
-1.155,-1.5
-1.14,-1.5
-1.125,-1.5
-1.11,-1.5
-1.095,-1.5
-1.08,-1.5
-1.065,-1.5
-1.05,-1.5
-1.035,-1.5
-1.02,-1.5
-1.005,-1.5
-0.99,-1.5
-0.975,-1.5
-0.96,-1.5
-0.945,-1.5
-0.93,-1.5
-0.915,-1.5
-0.9,-1.5
-0.885,-1.5
-0.87,-1.5
-0.855,-1.5
-0.84,-1.5
-0.825,-1.5
-0.81,-1.5
-0.795,-1.5
-0.78,-1.5
-0.765,-1.5
-0.75,-1.5
-0.735,-1.5
-0.72,-1.5
-0.705,-1.5
-0.69,-1.5
-0.675,-1.5
-0.66,-1.5
-0.645,-1.5
-0.63,-1.5
-0.615,-1.5
-0.6,-1.5
-0.585,-1.5
-0.57,-1.5
-0.555,-1.5
-0.54,-1.5
-0.525,-1.5
-0.51,-1.5
-0.495,-1.5
-0.48,-1.5
-0.465,-1.5
-0.45,-1.5
-0.435,-1.5
-0.42,-1.5
-0.405,-1.5
-0.39,-1.5
-0.375,-1.5
-0.36,-1.5
-0.345,-1.5
-0.33,-1.5
-0.315,-1.5
-0.3,-1.5
-0.285,-1.5
-0.27,-1.5
-0.255,-1.5
-0.24,-1.5
-0.225,-1.5
-0.21,-1.5
-0.195,-1.5
-0.18,-1.5
-0.165,-1.5
-0.15,-1.5
-0.135,-1.5
-0.12,-1.5
-0.105,-1.5
-0.09,-1.5
-0.075,-1.5
-0.06,-1.5
-0.045,-1.5
-0.03,-1.5
-0.015,-1.5
0,-1.5
0.015,-1.5
0.03,-1.5
0.045,-1.5
0.06,-1.5
0.075,-1.5
0.09,-1.5
0.105,-1.5
0.12,-1.5
0.135,-1.5
0.15,-1.5
0.165,-1.5
0.18,-1.5
0.195,-1.5
0.21,-1.5
0.225,-1.5
0.24,-1.5
0.255,-1.5
0.27,-1.5
0.285,-1.5
0.3,-1.5
0.315,-1.5
0.33,-1.5
0.345,-1.5
0.36,-1.5
0.375,-1.5
0.39,-1.5
0.405,-1.5
0.42,-1.5
0.435,-1.5
0.45,-1.5
0.465,-1.5
0.48,-1.5
0.495,-1.5
0.51,-1.5
0.525,-1.5
0.54,-1.5
0.555,-1.5
0.57,-1.5
0.585,-1.5
0.6,-1.5
0.615,-1.5
0.63,-1.5
0.645,-1.5
0.66,-1.5
0.675,-1.5
0.69,-1.5
0.705,-1.5
0.72,-1.5
0.735,-1.5
0.75,-1.5
0.765,-1.5
0.78,-1.5
0.795,-1.5
0.81,-1.5
0.825,-1.5
0.84,-1.5
0.855,-1.5
0.87,-1.5
0.885,-1.5
0.9,-1.5
0.915,-1.5
0.93,-1.5
0.945,-1.5
0.96,-1.5
0.975,-1.5
0.99,-1.5
1.005,-1.5
1.02,-1.5
1.035,-1.5
1.05,-1.5
1.065,-1.5
1.08,-1.5
1.095,-1.5
1.11,-1.5
1.125,-1.5
1.14,-1.5
1.155,-1.5
1.17,-1.5
1.185,-1.5
1.2,-1.5
1.215,-1.5
1.23,-1.5
1.245,-1.5
1.26,-1.5
1.275,-1.5
1.29,-1.5
1.305,-1.5
1.32,-1.5
1.335,-1.5
1.35,-1.5
1.365,-1.5
1.38,-1.5
1.395,-1.5
1.41,-1.5
1.425,-1.5
1.44,-1.5
1.455,-1.5
1.47,-1.5
1.485,-1.5
1.5,-1.5
-1.5,-1.485
-1.485,-1.485
-1.47,-1.485
-1.455,-1.485
-1.44,-1.485
-1.425,-1.485
-1.41,-1.485
-1.395,-1.485
-1.38,-1.485
-1.365,-1.485
-1.35,-1.485
-1.335,-1.485
-1.32,-1.485
-1.305,-1.485
-1.29,-1.485
-1.275,-1.485
-1.26,-1.485
-1.245,-1.485
-1.23,-1.485
-1.215,-1.485
-1.2,-1.485
-1.185,-1.485
-1.17,-1.485
-1.155,-1.485
-1.14,-1.485
-1.125,-1.485
-1.11,-1.485
-1.095,-1.485
-1.08,-1.485
-1.065,-1.485
-1.05,-1.485
-1.035,-1.485
-1.02,-1.485
-1.005,-1.485
-0.99,-1.485
-0.975,-1.485
-0.96,-1.485
-0.945,-1.485
-0.93,-1.485
-0.915,-1.485
-0.9,-1.485
-0.885,-1.485
-0.87,-1.485
-0.855,-1.485
-0.84,-1.485
-0.825,-1.485
-0.81,-1.485
-0.795,-1.485
-0.78,-1.485
-0.765,-1.485
-0.75,-1.485
-0.735,-1.485
-0.72,-1.485
-0.705,-1.485
-0.69,-1.485
-0.675,-1.485
-0.66,-1.485
-0.645,-1.485
-0.63,-1.485
-0.615,-1.485
-0.6,-1.485
-0.585,-1.485
-0.57,-1.485
-0.555,-1.485
-0.54,-1.485
-0.525,-1.485
-0.51,-1.485
-0.495,-1.485
-0.48,-1.485
-0.465,-1.485
-0.45,-1.485
-0.435,-1.485
-0.42,-1.485
-0.405,-1.485
-0.39,-1.485
-0.375,-1.485
-0.36,-1.485
-0.345,-1.485
-0.33,-1.485
-0.315,-1.485
-0.3,-1.485
-0.285,-1.485
-0.27,-1.485
-0.255,-1.485
-0.24,-1.485
-0.225,-1.485
-0.21,-1.485
-0.195,-1.485
-0.18,-1.485
-0.165,-1.485
-0.15,-1.485
-0.135,-1.485
-0.12,-1.485
-0.105,-1.485
-0.09,-1.485
-0.075,-1.485
-0.06,-1.485
-0.045,-1.485
-0.03,-1.485
-0.015,-1.485
0,-1.485
0.015,-1.485
0.03,-1.485
0.045,-1.485
0.06,-1.485
0.075,-1.485
0.09,-1.485
0.105,-1.485
0.12,-1.485
0.135,-1.485
0.15,-1.485
0.165,-1.485
0.18,-1.485
0.195,-1.485
0.21,-1.485
0.225,-1.485
0.24,-1.485
0.255,-1.485
0.27,-1.485
0.285,-1.485
0.3,-1.485
0.315,-1.485
0.33,-1.485
0.345,-1.485
0.36,-1.485
0.375,-1.485
0.39,-1.485
0.405,-1.485
0.42,-1.485
0.435,-1.485
0.45,-1.485
0.465,-1.485
0.48,-1.485
0.495,-1.485
0.51,-1.485
0.525,-1.485
0.54,-1.485
0.555,-1.485
0.57,-1.485
0.585,-1.485
0.6,-1.485
0.615,-1.485
0.63,-1.485
0.645,-1.485
0.66,-1.485
0.675,-1.485
0.69,-1.485
0.705,-1.485
0.72,-1.485
0.735,-1.485
0.75,-1.485
0.765,-1.485
0.78,-1.485
0.795,-1.485
0.81,-1.485
0.825,-1.485
0.84,-1.485
0.855,-1.485
0.87,-1.485
0.885,-1.485
0.9,-1.485
0.915,-1.485
0.93,-1.485
0.945,-1.485
0.96,-1.485
0.975,-1.485
0.99,-1.485
1.005,-1.485
1.02,-1.485
1.035,-1.485
1.05,-1.485
1.065,-1.485
1.08,-1.485
1.095,-1.485
1.11,-1.485
1.125,-1.485
1.14,-1.485
1.155,-1.485
1.17,-1.485
1.185,-1.485
1.2,-1.485
1.215,-1.485
1.23,-1.485
1.245,-1.485
1.26,-1.485
1.275,-1.485
1.29,-1.485
1.305,-1.485
1.32,-1.485
1.335,-1.485
1.35,-1.485
1.365,-1.485
1.38,-1.485
1.395,-1.485
1.41,-1.485
1.425,-1.485
1.44,-1.485
1.455,-1.485
1.47,-1.485
1.485,-1.485
1.5,-1.485
-1.5,-1.47
-1.485,-1.47
-1.47,-1.47
-1.455,-1.47
-1.44,-1.47
-1.425,-1.47
-1.41,-1.47
-1.395,-1.47
-1.38,-1.47
-1.365,-1.47
-1.35,-1.47
-1.335,-1.47
-1.32,-1.47
-1.305,-1.47
-1.29,-1.47
-1.275,-1.47
-1.26,-1.47
-1.245,-1.47
-1.23,-1.47
-1.215,-1.47
-1.2,-1.47
-1.185,-1.47
-1.17,-1.47
-1.155,-1.47
-1.14,-1.47
-1.125,-1.47
-1.11,-1.47
-1.095,-1.47
-1.08,-1.47
-1.065,-1.47
-1.05,-1.47
-1.035,-1.47
-1.02,-1.47
-1.005,-1.47
-0.99,-1.47
-0.975,-1.47
-0.96,-1.47
-0.945,-1.47
-0.93,-1.47
-0.915,-1.47
-0.9,-1.47
-0.885,-1.47
-0.87,-1.47
-0.855,-1.47
-0.84,-1.47
-0.825,-1.47
-0.81,-1.47
-0.795,-1.47
-0.78,-1.47
-0.765,-1.47
-0.75,-1.47
-0.735,-1.47
-0.72,-1.47
-0.705,-1.47
-0.69,-1.47
-0.675,-1.47
-0.66,-1.47
-0.645,-1.47
-0.63,-1.47
-0.615,-1.47
-0.6,-1.47
-0.585,-1.47
-0.57,-1.47
-0.555,-1.47
-0.54,-1.47
-0.525,-1.47
-0.51,-1.47
-0.495,-1.47
-0.48,-1.47
-0.465,-1.47
-0.45,-1.47
-0.435,-1.47
-0.42,-1.47
-0.405,-1.47
-0.39,-1.47
-0.375,-1.47
-0.36,-1.47
-0.345,-1.47
-0.33,-1.47
-0.315,-1.47
-0.3,-1.47
-0.285,-1.47
-0.27,-1.47
-0.255,-1.47
-0.24,-1.47
-0.225,-1.47
-0.21,-1.47
-0.195,-1.47
-0.18,-1.47
-0.165,-1.47
-0.15,-1.47
-0.135,-1.47
-0.12,-1.47
-0.105,-1.47
-0.09,-1.47
-0.075,-1.47
-0.06,-1.47
-0.045,-1.47
-0.03,-1.47
-0.015,-1.47
0,-1.47
0.015,-1.47
0.03,-1.47
0.045,-1.47
0.06,-1.47
0.075,-1.47
0.09,-1.47
0.105,-1.47
0.12,-1.47
0.135,-1.47
0.15,-1.47
0.165,-1.47
0.18,-1.47
0.195,-1.47
0.21,-1.47
0.225,-1.47
0.24,-1.47
0.255,-1.47
0.27,-1.47
0.285,-1.47
0.3,-1.47
0.315,-1.47
0.33,-1.47
0.345,-1.47
0.36,-1.47
0.375,-1.47
0.39,-1.47
0.405,-1.47
0.42,-1.47
0.435,-1.47
0.45,-1.47
0.465,-1.47
0.48,-1.47
0.495,-1.47
0.51,-1.47
0.525,-1.47
0.54,-1.47
0.555,-1.47
0.57,-1.47
0.585,-1.47
0.6,-1.47
0.615,-1.47
0.63,-1.47
0.645,-1.47
0.66,-1.47
0.675,-1.47
0.69,-1.47
0.705,-1.47
0.72,-1.47
0.735,-1.47
0.75,-1.47
0.765,-1.47
0.78,-1.47
0.795,-1.47
0.81,-1.47
0.825,-1.47
0.84,-1.47
0.855,-1.47
0.87,-1.47
0.885,-1.47
0.9,-1.47
0.915,-1.47
0.93,-1.47
0.945,-1.47
0.96,-1.47
0.975,-1.47
0.99,-1.47
1.005,-1.47
1.02,-1.47
1.035,-1.47
1.05,-1.47
1.065,-1.47
1.08,-1.47
1.095,-1.47
1.11,-1.47
1.125,-1.47
1.14,-1.47
1.155,-1.47
1.17,-1.47
1.185,-1.47
1.2,-1.47
1.215,-1.47
1.23,-1.47
1.245,-1.47
1.26,-1.47
1.275,-1.47
1.29,-1.47
1.305,-1.47
1.32,-1.47
1.335,-1.47
1.35,-1.47
1.365,-1.47
1.38,-1.47
1.395,-1.47
1.41,-1.47
1.425,-1.47
1.44,-1.47
1.455,-1.47
1.47,-1.47
1.485,-1.47
1.5,-1.47
-1.5,-1.455
-1.485,-1.455
-1.47,-1.455
-1.455,-1.455
-1.44,-1.455
-1.425,-1.455
-1.41,-1.455
-1.395,-1.455
-1.38,-1.455
-1.365,-1.455
-1.35,-1.455
-1.335,-1.455
-1.32,-1.455
-1.305,-1.455
-1.29,-1.455
-1.275,-1.455
-1.26,-1.455
-1.245,-1.455
-1.23,-1.455
-1.215,-1.455
-1.2,-1.455
-1.185,-1.455
-1.17,-1.455
-1.155,-1.455
-1.14,-1.455
-1.125,-1.455
-1.11,-1.455
-1.095,-1.455
-1.08,-1.455
-1.065,-1.455
-1.05,-1.455
-1.035,-1.455
-1.02,-1.455
-1.005,-1.455
-0.99,-1.455
-0.975,-1.455
-0.96,-1.455
-0.945,-1.455
-0.93,-1.455
-0.915,-1.455
-0.9,-1.455
-0.885,-1.455
-0.87,-1.455
-0.855,-1.455
-0.84,-1.455
-0.825,-1.455
-0.81,-1.455
-0.795,-1.455
-0.78,-1.455
-0.765,-1.455
-0.75,-1.455
-0.735,-1.455
-0.72,-1.455
-0.705,-1.455
-0.69,-1.455
-0.675,-1.455
-0.66,-1.455
-0.645,-1.455
-0.63,-1.455
-0.615,-1.455
-0.6,-1.455
-0.585,-1.455
-0.57,-1.455
-0.555,-1.455
-0.54,-1.455
-0.525,-1.455
-0.51,-1.455
-0.495,-1.455
-0.48,-1.455
-0.465,-1.455
-0.45,-1.455
-0.435,-1.455
-0.42,-1.455
-0.405,-1.455
-0.39,-1.455
-0.375,-1.455
-0.36,-1.455
-0.345,-1.455
-0.33,-1.455
-0.315,-1.455
-0.3,-1.455
-0.285,-1.455
-0.27,-1.455
-0.255,-1.455
-0.24,-1.455
-0.225,-1.455
-0.21,-1.455
-0.195,-1.455
-0.18,-1.455
-0.165,-1.455
-0.15,-1.455
-0.135,-1.455
-0.12,-1.455
-0.105,-1.455
-0.09,-1.455
-0.075,-1.455
-0.06,-1.455
-0.045,-1.455
-0.03,-1.455
-0.015,-1.455
0,-1.455
0.015,-1.455
0.03,-1.455
0.045,-1.455
0.06,-1.455
0.075,-1.455
0.09,-1.455
0.105,-1.455
0.12,-1.455
0.135,-1.455
0.15,-1.455
0.165,-1.455
0.18,-1.455
0.195,-1.455
0.21,-1.455
0.225,-1.455
0.24,-1.455
0.255,-1.455
0.27,-1.455
0.285,-1.455
0.3,-1.455
0.315,-1.455
0.33,-1.455
0.345,-1.455
0.36,-1.455
0.375,-1.455
0.39,-1.455
0.405,-1.455
0.42,-1.455
0.435,-1.455
0.45,-1.455
0.465,-1.455
0.48,-1.455
0.495,-1.455
0.51,-1.455
0.525,-1.455
0.54,-1.455
0.555,-1.455
0.57,-1.455
0.585,-1.455
0.6,-1.455
0.615,-1.455
0.63,-1.455
0.645,-1.455
0.66,-1.455
0.675,-1.455
0.69,-1.455
0.705,-1.455
0.72,-1.455
0.735,-1.455
0.75,-1.455
0.765,-1.455
0.78,-1.455
0.795,-1.455
0.81,-1.455
0.825,-1.455
0.84,-1.455
0.855,-1.455
0.87,-1.455
0.885,-1.455
0.9,-1.455
0.915,-1.455
0.93,-1.455
0.945,-1.455
0.96,-1.455
0.975,-1.455
0.99,-1.455
1.005,-1.455
1.02,-1.455
1.035,-1.455
1.05,-1.455
1.065,-1.455
1.08,-1.455
1.095,-1.455
1.11,-1.455
1.125,-1.455
1.14,-1.455
1.155,-1.455
1.17,-1.455
1.185,-1.455
1.2,-1.455
1.215,-1.455
1.23,-1.455
1.245,-1.455
1.26,-1.455
