"sku","national_inv","lead_time","in_transit_qty","forecast_3_month","forecast_6_month","forecast_9_month","sales_1_month","sales_3_month","sales_6_month","sales_9_month","min_bank","potential_issue","pieces_past_due","perf_6_month_avg","perf_12_month_avg","local_bo_qty","deck_risk","oe_constraint","ppap_risk","stop_auto_buy","rev_stop","went_on_backorder"
1114222,0,8,0,9,14,21,5,17,36,43,0,"No",0,0.96,0.98,0,"No","No","No","Yes","No","Yes"
1114823,0,12,0,31,31,31,7,15,33,47,2,"No",3,0.98,0.98,0,"No","No","No","Yes","No","Yes"
1116446,4,9,0,43,67,115,5,22,40,58,4,"No",0,0.69,0.68,0,"No","No","No","Yes","No","Yes"
1116834,2,8,0,4,6,9,1,5,6,9,2,"No",0,1.0,0.95,0,"No","No","No","Yes","No","Yes"
1116868,-7,8,0,56,96,112,13,30,56,76,0,"No",0,0.97,0.92,7,"No","No","No","Yes","No","Yes"
1117565,2,8,0,5,9,13,1,5,8,11,0,"No",0,0.84,0.48,0,"No","No","Yes","Yes","No","Yes"
1118345,0,2,0,54,72,72,0,0,0,0,4,"No",0,0.67,0.61,0,"No","No","Yes","Yes","No","Yes"
1118984,0,12,0,4,7,9,1,3,4,7,0,"No",0,0.82,0.79,0,"No","No","No","Yes","No","Yes"
1120247,0,4,0,5,5,5,0,0,0,0,0,"No",0,0.69,0.68,0,"Yes","No","Yes","Yes","No","Yes"
1120320,1,2,1,3,6,8,1,2,2,2,0,"No",0,0.82,0.87,0,"No","No","Yes","Yes","No","Yes"
1120865,34,9,0,0,10,20,2,9,20,44,1,"No",0,1.0,0.95,0,"No","No","No","Yes","No","Yes"
1120866,4,12,0,0,0,0,2,4,8,10,15,"No",0,0.59,0.59,0,"Yes","No","No","Yes","No","Yes"
1120868,7,8,0,0,0,0,1,1,2,3,0,"No",0,1.0,0.98,0,"No","No","No","Yes","No","Yes"
1121662,7,2,0,0,0,50,1,4,5,5,1,"No",0,0.79,0.85,0,"No","No","No","Yes","No","Yes"
1121942,0,2,0,1200,2112,2864,0,0,0,0,136,"No",0,0.92,0.79,0,"No","No","Yes","No","No","Yes"
1122449,1,2,0,0,1,2,0,0,0,0,1,"No",0,0.91,0.93,0,"No","No","No","Yes","No","Yes"
1122461,0,2,0,5,5,5,0,0,0,0,0,"No",0,0.0,0.0,0,"Yes","No","Yes","Yes","No","Yes"
1122879,6,8,0,24,48,72,9,34,59,73,6,"No",0,0.97,0.94,0,"No","No","No","Yes","No","Yes"
1124321,0,12,0,163,197,231,0,52,112,162,0,"No",0,0.73,0.69,0,"No","No","No","Yes","No","Yes"
1125134,11,2,0,0,0,0,1,2,3,3,0,"No",0,0.99,0.98,0,"No","No","No","Yes","No","Yes"
1125285,2,2,0,0,0,0,1,3,6,6,0,"No",0,0.98,0.95,0,"Yes","No","No","Yes","No","Yes"
1125368,0,9,0,12,12,12,0,0,2,6,1,"No",0,0.99,0.98,0,"No","No","No","Yes","No","Yes"
1126808,1,12,0,29,60,80,5,36,53,97,10,"No",0,0.83,0.75,0,"No","No","No","Yes","No","Yes"
1127720,150,8,0,325,625,1225,196,438,949,1243,0,"No",0,0.99,0.93,0,"No","No","No","Yes","No","Yes"
1128797,0,8,0,3,7,16,5,15,25,31,1,"No",0,0.98,0.98,0,"No","No","No","Yes","No","Yes"
1130086,44,0,1,177,292,410,65,152,250,309,62,"No",0,0.0,0.0,0,"No","No","No","No","No","Yes"
1132099,11,2,10,27,50,64,20,71,91,92,14,"No",0,0.75,0.74,0,"No","No","Yes","Yes","No","Yes"
1133176,0,4,0,100,100,100,10,22,22,34,0,"No",0,0.77,0.8,0,"No","No","No","Yes","No","Yes"
1133622,1,8,0,1,2,3,1,3,4,4,0,"No",0,0.7,0.74,0,"No","No","No","Yes","No","Yes"
1135875,17,12,16,168,264,328,40,116,208,333,36,"No",4,0.62,0.73,0,"No","No","No","Yes","No","Yes"
1135985,0,2,0,118,205,286,0,0,0,1,17,"No",0,0.99,0.95,0,"No","No","No","Yes","No","Yes"
1138666,1,8,0,10,20,30,2,12,20,21,0,"No",0,0.15,0.34,0,"No","No","No","Yes","No","Yes"
1138898,69,8,0,29,29,29,8,25,53,90,21,"No",0,1.0,0.99,0,"No","No","No","No","No","Yes"
1139581,9,2,0,80,140,200,18,53,118,157,0,"No",0,0.98,0.97,0,"No","No","No","Yes","No","Yes"
1142313,2,8,0,18,30,38,7,22,35,54,26,"No",0,0.95,0.95,0,"No","No","No","Yes","No","Yes"
1142651,10,2,1,3,3,3,8,30,30,30,0,"No",2,0.69,0.68,0,"No","No","No","Yes","No","Yes"
1143207,9,8,0,20,20,40,5,11,16,25,0,"No",0,1.0,0.92,0,"No","No","No","Yes","No","Yes"
1144264,0,2,0,0,14,20,1,2,2,2,0,"No",0,0.84,0.74,0,"Yes","No","Yes","Yes","No","Yes"
1145293,0,8,0,27,38,49,1,13,16,27,0,"No",0,1.0,0.99,0,"No","No","Yes","Yes","No","Yes"
1146010,0,3,0,118,118,118,0,3,4,11,14,"No",0,0.03,0.1,0,"No","No","No","Yes","No","Yes"
1147822,3,2,0,0,0,0,0,1,1,1,0,"No",0,0.78,0.82,0,"Yes","No","No","Yes","No","Yes"
1147953,0,2,0,4,6,9,3,6,8,12,0,"No",0,0.98,0.95,0,"No","No","No","Yes","No","Yes"
1150417,12,2,0,400,800,1000,97,246,367,682,0,"No",0,0.85,0.87,0,"No","No","No","Yes","No","Yes"
1151429,4,2,0,0,0,2,0,1,3,4,1,"No",0,0.97,0.98,0,"No","No","No","Yes","No","Yes"
1152635,2,2,6,6,6,6,2,4,4,4,0,"No",1,0.93,0.93,0,"Yes","No","No","Yes","No","Yes"
1152704,2,2,0,300,300,300,9,13,20,28,0,"No",0,0.64,0.63,0,"No","No","No","Yes","No","Yes"
1153446,5,2,0,5,10,15,5,15,24,32,0,"No",0,1.0,0.99,0,"No","No","No","Yes","No","Yes"
1153725,7,2,0,26,26,26,5,19,23,23,0,"No",10,0.26,0.32,0,"Yes","No","No","Yes","No","Yes"
1154468,0,2,0,10,14,18,1,1,1,1,0,"No",0,0.31,0.34,0,"Yes","No","No","Yes","No","Yes"
1154682,7,2,0,20,40,60,7,15,28,41,0,"No",0,1.0,1.0,0,"No","No","No","Yes","No","Yes"
1157380,0,3,0,30,30,30,0,0,0,0,0,"No",30,0.42,0.46,0,"Yes","No","Yes","Yes","No","Yes"
1158841,30,8,0,0,0,0,22,52,65,73,2,"No",0,1.0,1.0,0,"No","No","No","Yes","No","Yes"
1159573,1,2,0,0,0,3,0,2,2,4,1,"No",0,0.84,0.9,0,"No","No","No","Yes","No","Yes"
1159820,24,8,0,50,150,250,16,66,89,167,0,"No",0,1.0,0.99,0,"No","No","No","Yes","No","Yes"
1161267,10,2,0,180,260,380,59,149,263,273,43,"No",40,0.98,0.99,0,"No","No","No","Yes","No","Yes"
1162597,1,8,0,3,5,7,14,44,47,48,2,"No",0,0.91,0.93,0,"No","No","No","Yes","No","Yes"
1162711,0,2,0,29,40,54,0,0,0,0,0,"No",29,0.48,0.53,0,"No","No","No","Yes","No","Yes"
