date,month,day,year,maxTemp,meanTemp,minTemp
1/1/01,1,1,2001,23,14,6
1/2/01,1,2,2001,18,12,6
1/3/01,1,3,2001,28,18,8
1/4/01,1,4,2001,30,24,19
1/5/01,1,5,2001,36,30,21
1/6/01,1,6,2001,33,26,19
1/7/01,1,7,2001,34,28,21
1/8/01,1,8,2001,26,20,14
1/9/01,1,9,2001,23,16,10
1/10/01,1,10,2001,34,26,19
1/11/01,1,11,2001,39,28,18
1/12/01,1,12,2001,37,31,25
1/13/01,1,13,2001,35,34,33
1/14/01,1,14,2001,36,34,32
1/15/01,1,15,2001,35,32,30
1/16/01,1,16,2001,30,28,26
1/17/01,1,17,2001,26,22,19
1/18/01,1,18,2001,30,24,19
1/19/01,1,19,2001,27,22,17
1/20/01,1,20,2001,24,18,10
1/21/01,1,21,2001,25,18,10
1/22/01,1,22,2001,28,18,7
1/23/01,1,23,2001,34,28,21
1/24/01,1,24,2001,27,22,17
1/25/01,1,25,2001,25,20,14
1/26/01,1,26,2001,30,26,21
1/27/01,1,27,2001,26,20,15
1/28/01,1,28,2001,28,21,14
1/29/01,1,29,2001,42,35,28
1/30/01,1,30,2001,37,34,32
1/31/01,1,31,2001,34,31,27
2/1/01,2,1,2001,30,18,3
2/2/01,2,2,2001,12,6,0
2/3/01,2,3,2001,30,19,10
2/4/01,2,4,2001,34,30,27
2/5/01,2,5,2001,32,29,26
2/6/01,2,6,2001,35,29,19
2/7/01,2,7,2001,35,26,17
2/8/01,2,8,2001,53,42,33
2/9/01,2,9,2001,54,36,19
2/10/01,2,10,2001,19,16,12
2/11/01,2,11,2001,27,18,10
2/12/01,2,12,2001,37,29,21
2/13/01,2,13,2001,37,34,32
2/14/01,2,14,2001,36,32,28
2/15/01,2,15,2001,32,30,27
2/16/01,2,16,2001,30,23,14
2/17/01,2,17,2001,18,12,6
2/18/01,2,18,2001,28,18,7
2/19/01,2,19,2001,42,35,28
2/20/01,2,20,2001,35,27,18
2/21/01,2,21,2001,19,14,10
2/22/01,2,22,2001,27,23,19
2/23/01,2,23,2001,30,23,18
2/24/01,2,24,2001,55,42,30
2/25/01,2,25,2001,55,42,28
2/26/01,2,26,2001,39,31,23
2/27/01,2,27,2001,28,23,17
2/28/01,2,28,2001,27,20,12
3/1/01,3,1,2001,41,30,19
3/2/01,3,2,2001,41,36,28
3/3/01,3,3,2001,48,34,21
3/4/01,3,4,2001,33,28,24
3/5/01,3,5,2001,28,23,18
3/6/01,3,6,2001,34,28,21
3/7/01,3,7,2001,44,34,23
3/8/01,3,8,2001,34,31,27
3/9/01,3,9,2001,37,31,23
3/10/01,3,10,2001,48,34,19
3/11/01,3,11,2001,37,32,28
