ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9955810,HY144797,02/08/2015 11:43:40 PM,081XX S COLES AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0422,004,7,46,18,1198273,1851626,2015,02/15/2015 12:43:39 PM,41.747693646,-87.549035389,"(41.747693646, -87.549035389)"
9955861,HY144838,02/08/2015 11:41:42 PM,118XX S STATE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0522,005,34,53,08B,1178335,1826581,2015,02/15/2015 12:43:39 PM,41.679442289,-87.622850758,"(41.679442289, -87.622850758)"
9955801,HY144779,02/08/2015 11:30:22 PM,002XX S LARAMIE AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,true,false,1522,015,29,25,18,1141717,1898581,2015,02/15/2015 12:43:39 PM,41.87777333,-87.755117993,"(41.87777333, -87.755117993)"
9956197,HY144787,02/08/2015 11:30:23 PM,006XX E 67TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0321,,6,42,18,,,2015,02/15/2015 12:43:39 PM,,,
9955846,HY144829,02/08/2015 11:30:58 PM,0000X S MAYFIELD AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1513,015,29,25,05,1137239,1899372,2015,02/15/2015 12:43:39 PM,41.880025548,-87.771541324,"(41.880025548, -87.771541324)"
9955835,HY144778,02/08/2015 11:30:21 PM,010XX W 48TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0933,009,3,61,08B,1169986,1873019,2015,02/15/2015 12:43:39 PM,41.807059405,-87.65206589,"(41.807059405, -87.65206589)"
9955872,HY144822,02/08/2015 11:27:24 PM,015XX W ARTHUR AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2432,024,40,1,14,1164732,1943222,2015,02/15/2015 12:43:39 PM,41.999814056,-87.669342967,"(41.999814056, -87.669342967)"
21752,HY144738,02/08/2015 11:26:12 PM,060XX W GRAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2512,025,37,19,01A,1135910,1914206,2015,02/15/2015 12:43:39 PM,41.920755683,-87.776067514,"(41.920755683, -87.776067514)"
9955808,HY144775,02/08/2015 11:20:33 PM,001XX W WACKER DR,0460,BATTERY,SIMPLE,OTHER,false,false,0122,001,42,32,08B,1175384,1902088,2015,02/15/2015 12:43:39 PM,41.886707818,-87.631396356,"(41.886707818, -87.631396356)"
9958275,HY146732,02/08/2015 11:15:36 PM,001XX W WACKER DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,false,false,0122,001,42,32,08B,1175384,1902088,2015,02/15/2015 12:43:39 PM,41.886707818,-87.631396356,"(41.886707818, -87.631396356)"
9955845,HY144771,02/08/2015 11:10:44 PM,010XX W BELMONT AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,RESTAURANT,false,false,1924,019,44,6,03,1168809,1921459,2015,02/15/2015 12:43:39 PM,41.940007998,-87.654978667,"(41.940007998, -87.654978667)"
9957101,HY145714,02/08/2015 11:00:22 PM,057XX S KILBOURN AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,0813,008,13,62,26,1147386,1866150,2015,02/15/2015 12:43:39 PM,41.788671493,-87.735131868,"(41.788671493, -87.735131868)"
9957147,HY145922,02/08/2015 11:00:39 PM,054XX N SHERIDAN RD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE-GARAGE,false,false,2023,020,48,77,26,1168691,1936485,2015,02/15/2015 12:43:39 PM,41.981242424,-87.654975161,"(41.981242424, -87.654975161)"
9956169,HY145063,02/08/2015 11:00:43 PM,052XX S CALIFORNIA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0923,009,14,63,11,1158640,1869640,2015,02/15/2015 12:43:39 PM,41.798026245,-87.693771907,"(41.798026245, -87.693771907)"
9957473,HY146316,02/08/2015 11:00:49 PM,094XX S LAFLIN ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,2222,022,21,73,05,1168030,1842102,2015,02/15/2015 12:43:39 PM,41.722261427,-87.660127366,"(41.722261427, -87.660127366)"
9955826,HY144769,02/08/2015 11:00:23 PM,069XX S ARTESIAN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,false,false,0832,008,17,66,26,1161287,1858292,2015,02/15/2015 12:43:39 PM,41.766831334,-87.684378918,"(41.766831334, -87.684378918)"
9955767,HY144745,02/08/2015 10:47:35 PM,050XX S LAWNDALE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0821,008,14,62,18,1152594,1871136,2015,02/15/2015 12:43:39 PM,41.802252786,-87.715904459,"(41.802252786, -87.715904459)"
9955787,HY144768,02/08/2015 10:45:20 PM,045XX N SHERIDAN RD,4510,OTHER OFFENSE,PROBATION VIOLATION,STREET,true,false,1914,019,46,3,26,1168757,1930089,2015,02/15/2015 12:43:39 PM,41.963690182,-87.654918709,"(41.963690182, -87.654918709)"
9955800,HY144743,02/08/2015 10:45:51 PM,006XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1532,015,28,25,18,1141613,1903996,2015,02/15/2015 12:43:39 PM,41.89263468,-87.755365949,"(41.89263468, -87.755365949)"
9955790,HY144737,02/08/2015 10:42:21 PM,050XX W WASHINGTON BLVD,2026,NARCOTICS,POSS: PCP,SIDEWALK,true,false,1533,015,28,25,18,1142975,1899998,2015,02/15/2015 12:43:39 PM,41.881638403,-87.750463539,"(41.881638403, -87.750463539)"
9955773,HY144758,02/08/2015 10:41:36 PM,003XX S KILBOURN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1131,011,24,26,18,1146399,1898208,2015,02/15/2015 12:43:39 PM,41.876661931,-87.737936176,"(41.876661931, -87.737936176)"
